,Artist,Streams,Daily,As lead,Solo,As feature,Artist_id
8213,Kaskade,1739.5,0.693,1221.8,288.3,517.7,6TQj5BFPooTa08A7pk8AQ1
8214,Udit Narayan,1736.3,3.058,761.0,123.1,975.3,70B80Lwx2sxti0M1Ng9e8K
8215,Udit Narayan,1736.3,3.058,761.0,123.1,975.3,70B80Lwx2sxti0M1Ng9e8K
8216,Udit Narayan,1736.3,3.058,761.0,123.1,975.3,70B80Lwx2sxti0M1Ng9e8K
8217,Udit Narayan,1736.3,3.058,761.0,123.1,975.3,70B80Lwx2sxti0M1Ng9e8K
8218,Udit Narayan,1736.3,3.058,761.0,123.1,975.3,70B80Lwx2sxti0M1Ng9e8K
8219,Udit Narayan,1736.3,3.058,761.0,123.1,975.3,70B80Lwx2sxti0M1Ng9e8K
8220,Udit Narayan,1736.3,3.058,761.0,123.1,975.3,70B80Lwx2sxti0M1Ng9e8K
8221,Udit Narayan,1736.3,3.058,761.0,123.1,975.3,70B80Lwx2sxti0M1Ng9e8K
8222,Udit Narayan,1736.3,3.058,761.0,123.1,975.3,70B80Lwx2sxti0M1Ng9e8K
8223,Udit Narayan,1736.3,3.058,761.0,123.1,975.3,70B80Lwx2sxti0M1Ng9e8K
8224,Eurythmics,1724.2,0.962,1709.7,8.0,14.5,0NKDgy9j66h3DLnN8qu1bB
8225,Eurythmics,1724.2,0.962,1709.7,8.0,14.5,0NKDgy9j66h3DLnN8qu1bB
8226,Eurythmics,1724.2,0.962,1709.7,8.0,14.5,0NKDgy9j66h3DLnN8qu1bB
8227,Eurythmics,1724.2,0.962,1709.7,8.0,14.5,0NKDgy9j66h3DLnN8qu1bB
8228,Eurythmics,1724.2,0.962,1709.7,8.0,14.5,0NKDgy9j66h3DLnN8qu1bB
8229,Eurythmics,1724.2,0.962,1709.7,8.0,14.5,0NKDgy9j66h3DLnN8qu1bB
8230,Eurythmics,1724.2,0.962,1709.7,8.0,14.5,0NKDgy9j66h3DLnN8qu1bB
8231,Eurythmics,1724.2,0.962,1709.7,8.0,14.5,0NKDgy9j66h3DLnN8qu1bB
8232,Eurythmics,1724.2,0.962,1709.7,8.0,14.5,0NKDgy9j66h3DLnN8qu1bB
8233,Eurythmics,1724.2,0.962,1709.7,8.0,14.5,0NKDgy9j66h3DLnN8qu1bB
8234,Lucenzo,1721.2,1.395,1714.7,291.2,6.5,5bv5RplEOwdCvhq0EILh9E
8235,Lucenzo,1721.2,1.395,1714.7,291.2,6.5,5bv5RplEOwdCvhq0EILh9E
8236,Lucenzo,1721.2,1.395,1714.7,291.2,6.5,5bv5RplEOwdCvhq0EILh9E
8237,Lucenzo,1721.2,1.395,1714.7,291.2,6.5,5bv5RplEOwdCvhq0EILh9E
8238,Lucenzo,1721.2,1.395,1714.7,291.2,6.5,5bv5RplEOwdCvhq0EILh9E
8239,Lucenzo,1721.2,1.395,1714.7,291.2,6.5,5bv5RplEOwdCvhq0EILh9E
8240,Lucenzo,1721.2,1.395,1714.7,291.2,6.5,5bv5RplEOwdCvhq0EILh9E
8241,Lucenzo,1721.2,1.395,1714.7,291.2,6.5,5bv5RplEOwdCvhq0EILh9E
8242,Lucenzo,1721.2,1.395,1714.7,291.2,6.5,5bv5RplEOwdCvhq0EILh9E
8243,Blessd,1721.1,2.94,1320.9,293.5,400.2,1TA5sGRlKUJXBN4ZyJuDIX
8244,Blessd,1721.1,2.94,1320.9,293.5,400.2,1TA5sGRlKUJXBN4ZyJuDIX
8245,Blessd,1721.1,2.94,1320.9,293.5,400.2,1TA5sGRlKUJXBN4ZyJuDIX
8246,Blessd,1721.1,2.94,1320.9,293.5,400.2,1TA5sGRlKUJXBN4ZyJuDIX
8247,Blessd,1721.1,2.94,1320.9,293.5,400.2,1TA5sGRlKUJXBN4ZyJuDIX
8248,Blessd,1721.1,2.94,1320.9,293.5,400.2,1TA5sGRlKUJXBN4ZyJuDIX
8249,Blessd,1721.1,2.94,1320.9,293.5,400.2,1TA5sGRlKUJXBN4ZyJuDIX
8250,Blessd,1721.1,2.94,1320.9,293.5,400.2,1TA5sGRlKUJXBN4ZyJuDIX
8251,Blessd,1721.1,2.94,1320.9,293.5,400.2,1TA5sGRlKUJXBN4ZyJuDIX
8252,Blessd,1721.1,2.94,1320.9,293.5,400.2,1TA5sGRlKUJXBN4ZyJuDIX
8253,Alanis Morissette,1720.0,0.827,1697.1,1684.1,22.9,6ogn9necmbUdCppmNnGOdi
8254,Alanis Morissette,1720.0,0.827,1697.1,1684.1,22.9,6ogn9necmbUdCppmNnGOdi
8255,Alanis Morissette,1720.0,0.827,1697.1,1684.1,22.9,6ogn9necmbUdCppmNnGOdi
8256,Alanis Morissette,1720.0,0.827,1697.1,1684.1,22.9,6ogn9necmbUdCppmNnGOdi
8257,Alanis Morissette,1720.0,0.827,1697.1,1684.1,22.9,6ogn9necmbUdCppmNnGOdi
8258,Alanis Morissette,1720.0,0.827,1697.1,1684.1,22.9,6ogn9necmbUdCppmNnGOdi
8259,Alanis Morissette,1720.0,0.827,1697.1,1684.1,22.9,6ogn9necmbUdCppmNnGOdi
8260,Alanis Morissette,1720.0,0.827,1697.1,1684.1,22.9,6ogn9necmbUdCppmNnGOdi
8261,Alanis Morissette,1720.0,0.827,1697.1,1684.1,22.9,6ogn9necmbUdCppmNnGOdi
8262,Alanis Morissette,1720.0,0.827,1697.1,1684.1,22.9,6ogn9necmbUdCppmNnGOdi
8263,ATEEZ,1719.8,1.833,1707.2,1698.7,12.5,68KmkJeZGfwe1OUaivBa2L
8264,ATEEZ,1719.8,1.833,1707.2,1698.7,12.5,68KmkJeZGfwe1OUaivBa2L
8265,ATEEZ,1719.8,1.833,1707.2,1698.7,12.5,68KmkJeZGfwe1OUaivBa2L
8266,ATEEZ,1719.8,1.833,1707.2,1698.7,12.5,68KmkJeZGfwe1OUaivBa2L
8267,ATEEZ,1719.8,1.833,1707.2,1698.7,12.5,68KmkJeZGfwe1OUaivBa2L
8268,ATEEZ,1719.8,1.833,1707.2,1698.7,12.5,68KmkJeZGfwe1OUaivBa2L
8269,ATEEZ,1719.8,1.833,1707.2,1698.7,12.5,68KmkJeZGfwe1OUaivBa2L
8270,ATEEZ,1719.8,1.833,1707.2,1698.7,12.5,68KmkJeZGfwe1OUaivBa2L
8271,ATEEZ,1719.8,1.833,1707.2,1698.7,12.5,68KmkJeZGfwe1OUaivBa2L
8272,ATEEZ,1719.8,1.833,1707.2,1698.7,12.5,68KmkJeZGfwe1OUaivBa2L
8273,Beck,1715.5,0.709,1571.4,1535.6,144.1,3vbKDsSS70ZX9D2OcvbZmS
8274,Beck,1715.5,0.709,1571.4,1535.6,144.1,3vbKDsSS70ZX9D2OcvbZmS
8275,Beck,1715.5,0.709,1571.4,1535.6,144.1,3vbKDsSS70ZX9D2OcvbZmS
8276,Beck,1715.5,0.709,1571.4,1535.6,144.1,3vbKDsSS70ZX9D2OcvbZmS
8277,Beck,1715.5,0.709,1571.4,1535.6,144.1,3vbKDsSS70ZX9D2OcvbZmS
8278,Beck,1715.5,0.709,1571.4,1535.6,144.1,3vbKDsSS70ZX9D2OcvbZmS
8279,Beck,1715.5,0.709,1571.4,1535.6,144.1,3vbKDsSS70ZX9D2OcvbZmS
8280,Beck,1715.5,0.709,1571.4,1535.6,144.1,3vbKDsSS70ZX9D2OcvbZmS
8281,Beck,1715.5,0.709,1571.4,1535.6,144.1,3vbKDsSS70ZX9D2OcvbZmS
8282,Beck,1715.5,0.709,1571.4,1535.6,144.1,3vbKDsSS70ZX9D2OcvbZmS
8283,Riton,1714.4,0.815,1652.1,2.0,62.3,7i9j813KFoSBMldGqlh2Z1
8284,Riton,1714.4,0.815,1652.1,2.0,62.3,7i9j813KFoSBMldGqlh2Z1
8285,Riton,1714.4,0.815,1652.1,2.0,62.3,7i9j813KFoSBMldGqlh2Z1
8286,Riton,1714.4,0.815,1652.1,2.0,62.3,7i9j813KFoSBMldGqlh2Z1
8287,Riton,1714.4,0.815,1652.1,2.0,62.3,7i9j813KFoSBMldGqlh2Z1
8288,Riton,1714.4,0.815,1652.1,2.0,62.3,7i9j813KFoSBMldGqlh2Z1
8289,Riton,1714.4,0.815,1652.1,2.0,62.3,7i9j813KFoSBMldGqlh2Z1
8290,Riton,1714.4,0.815,1652.1,2.0,62.3,7i9j813KFoSBMldGqlh2Z1
8291,Riton,1714.4,0.815,1652.1,2.0,62.3,7i9j813KFoSBMldGqlh2Z1
8292,Riton,1714.4,0.815,1652.1,2.0,62.3,7i9j813KFoSBMldGqlh2Z1
8293,The Temptations,1712.8,0.569,1670.0,1663.6,42.8,3RwQ26hR2tJtA8F9p2n7jG
8294,The Temptations,1712.8,0.569,1670.0,1663.6,42.8,3RwQ26hR2tJtA8F9p2n7jG
8295,The Temptations,1712.8,0.569,1670.0,1663.6,42.8,3RwQ26hR2tJtA8F9p2n7jG
8296,The Temptations,1712.8,0.569,1670.0,1663.6,42.8,3RwQ26hR2tJtA8F9p2n7jG
8297,The Temptations,1712.8,0.569,1670.0,1663.6,42.8,3RwQ26hR2tJtA8F9p2n7jG
8298,The Temptations,1712.8,0.569,1670.0,1663.6,42.8,3RwQ26hR2tJtA8F9p2n7jG
8299,The Temptations,1712.8,0.569,1670.0,1663.6,42.8,3RwQ26hR2tJtA8F9p2n7jG
8300,The Temptations,1712.8,0.569,1670.0,1663.6,42.8,3RwQ26hR2tJtA8F9p2n7jG
8301,The Temptations,1712.8,0.569,1670.0,1663.6,42.8,3RwQ26hR2tJtA8F9p2n7jG
8302,Tems,1712.3,2.319,532.5,456.9,1179.8,687cZJR45JO7jhk1LHIbgq
8303,Tems,1712.3,2.319,532.5,456.9,1179.8,687cZJR45JO7jhk1LHIbgq
8304,Tems,1712.3,2.319,532.5,456.9,1179.8,687cZJR45JO7jhk1LHIbgq
8305,Tems,1712.3,2.319,532.5,456.9,1179.8,687cZJR45JO7jhk1LHIbgq
8306,Tems,1712.3,2.319,532.5,456.9,1179.8,687cZJR45JO7jhk1LHIbgq
8307,Tems,1712.3,2.319,532.5,456.9,1179.8,687cZJR45JO7jhk1LHIbgq
8308,Tems,1712.3,2.319,532.5,456.9,1179.8,687cZJR45JO7jhk1LHIbgq
8309,Tems,1712.3,2.319,532.5,456.9,1179.8,687cZJR45JO7jhk1LHIbgq
8310,Tems,1712.3,2.319,532.5,456.9,1179.8,687cZJR45JO7jhk1LHIbgq
8311,Tems,1712.3,2.319,532.5,456.9,1179.8,687cZJR45JO7jhk1LHIbgq
8312,MC Cabelinho,1708.0,3.046,1145.2,47.9,562.7,1WQBwwssN6r8DSjUlkyUGW
8313,MC Cabelinho,1708.0,3.046,1145.2,47.9,562.7,1WQBwwssN6r8DSjUlkyUGW
8314,MC Cabelinho,1708.0,3.046,1145.2,47.9,562.7,1WQBwwssN6r8DSjUlkyUGW
8315,MC Cabelinho,1708.0,3.046,1145.2,47.9,562.7,1WQBwwssN6r8DSjUlkyUGW
8316,MC Cabelinho,1708.0,3.046,1145.2,47.9,562.7,1WQBwwssN6r8DSjUlkyUGW
8317,MC Cabelinho,1708.0,3.046,1145.2,47.9,562.7,1WQBwwssN6r8DSjUlkyUGW
8318,MC Cabelinho,1708.0,3.046,1145.2,47.9,562.7,1WQBwwssN6r8DSjUlkyUGW
8319,MC Cabelinho,1708.0,3.046,1145.2,47.9,562.7,1WQBwwssN6r8DSjUlkyUGW
8320,MC Cabelinho,1708.0,3.046,1145.2,47.9,562.7,1WQBwwssN6r8DSjUlkyUGW
8321,MC Cabelinho,1708.0,3.046,1145.2,47.9,562.7,1WQBwwssN6r8DSjUlkyUGW
8322,Kenshi Yonezu,1702.4,1.761,1577.6,1502.0,124.9,1snhtMLeb2DYoMOcVbb8iB
8323,Kenshi Yonezu,1702.4,1.761,1577.6,1502.0,124.9,1snhtMLeb2DYoMOcVbb8iB
8324,Kenshi Yonezu,1702.4,1.761,1577.6,1502.0,124.9,1snhtMLeb2DYoMOcVbb8iB
8325,Kenshi Yonezu,1702.4,1.761,1577.6,1502.0,124.9,1snhtMLeb2DYoMOcVbb8iB
8326,Kenshi Yonezu,1702.4,1.761,1577.6,1502.0,124.9,1snhtMLeb2DYoMOcVbb8iB
8327,Kenshi Yonezu,1702.4,1.761,1577.6,1502.0,124.9,1snhtMLeb2DYoMOcVbb8iB
8328,Kenshi Yonezu,1702.4,1.761,1577.6,1502.0,124.9,1snhtMLeb2DYoMOcVbb8iB
8329,Kenshi Yonezu,1702.4,1.761,1577.6,1502.0,124.9,1snhtMLeb2DYoMOcVbb8iB
8330,Kenshi Yonezu,1702.4,1.761,1577.6,1502.0,124.9,1snhtMLeb2DYoMOcVbb8iB
8331,Kenshi Yonezu,1702.4,1.761,1577.6,1502.0,124.9,1snhtMLeb2DYoMOcVbb8iB
8332,Kid Rock,1700.6,0.809,1506.0,1285.7,194.6,7dOBabd5O4CvKrg4iriHTM
8333,Kid Rock,1700.6,0.809,1506.0,1285.7,194.6,7dOBabd5O4CvKrg4iriHTM
